Port,Size_MB,Latency_ms
5555,1.90735e-06,0.249197
5555,6.29425e-05,0.144138
5555,0.000123978,0.089968
5555,0.000185013,0.095791
5555,0.000246048,0.095046
5555,0.000307083,0.085369
5555,0.000368118,0.083044
5555,0.000429153,0.093484
5555,0.000490189,0.092583
5555,0.000551224,0.082123
5555,0.000612259,0.089806
5555,0.000673294,0.083015
5555,0.000734329,0.095858
5555,0.000795364,0.090042
5555,0.0008564,0.082283
5555,0.000917435,0.090317
5555,0.00097847,0.090197
5555,0.00103951,0.081872
5555,0.00110054,0.09141
5555,0.00116158,0.100397
5555,0.00122261,0.095481
5555,0.00128365,0.097281
5555,0.00134468,0.162312
5555,0.00140572,0.163429
5555,0.00146675,0.132322
5555,0.00152779,0.115455
5555,0.00158882,0.10165
5555,0.00164986,0.094079
5555,0.00171089,0.102861
5555,0.00177193,0.109779
5555,0.00183296,0.108041
5555,0.001894,0.111963
5555,0.00195503,0.106008
5555,0.00201607,0.096322
5555,0.0020771,0.095357
5555,0.00213814,0.098173
5555,0.00219917,0.090929
5555,0.00226021,0.089256
5555,0.00232124,0.092412
5555,0.00238228,0.094195
5555,0.00244331,0.096025
5555,0.00250435,0.097416
5555,0.00256538,0.095062
5555,0.00262642,0.091801
5555,0.00268745,0.103908
5555,0.00274849,0.097682
5555,0.00280952,0.091075
5555,0.00287056,0.089652
5555,0.00293159,0.101705
5555,0.00299263,0.095834
5555,0.00305367,0.092638
5555,0.0031147,0.096109
5555,0.00317574,0.08867
5555,0.00323677,0.097509
5555,0.00329781,0.090789
5555,0.00335884,0.084818
5555,0.00341988,0.082022
5555,0.00348091,0.082012
5555,0.00354195,0.081432
5555,0.00360298,0.082022
5555,0.00366402,0.091207
5555,0.00372505,0.108177
5555,0.00378609,0.105497
5555,0.00384712,0.101188
5555,0.00390816,0.108472
5555,0.00396919,0.085456
5555,0.00403023,0.092161
5555,0.00409126,0.088444
5555,0.0041523,0.095023
5555,0.00421333,0.09153
5555,0.00427437,0.091811
5555,0.0043354,0.109764
5555,0.00439644,0.104965
5555,0.00445747,0.097248
5555,0.00451851,0.09369
5555,0.00457954,0.085715
5555,0.00464058,0.086411
5555,0.00470161,0.082212
5555,0.00476265,0.081963
5555,0.00482368,0.082293
5555,0.00488472,0.092292
5555,0.00494576,0.090465
5555,0.00500679,0.090378
5555,0.00506783,0.26334
5555,0.00512886,0.131545
5555,0.0051899,0.160589
5555,0.00525093,0.114448
5555,0.00531197,0.097802
5555,0.005373,0.093239
5555,0.00543404,0.08846
5555,0.00549507,0.084142
5555,0.00555611,0.09692
5555,0.00561714,0.091841
5555,0.00567818,0.107951
5555,0.00573921,0.095718
5555,0.00580025,0.092357
5555,0.00586128,0.086466
5555,0.00592232,0.095012
5555,0.00598335,0.09654
5555,0.00604439,0.099906
5555,0.00610542,0.10187
5555,0.00616646,0.101929
5555,0.00622749,0.089953
5555,0.00628853,0.094847
5555,0.00634956,0.095248
5555,0.0064106,0.09645
5555,0.00647163,0.095894
