Port,Size_MB,Latency_ms
5555,1.90735e-06,0.271759
5555,6.29425e-05,0.130172
5555,0.000123978,0.076262
5555,0.000185013,0.076482
5555,0.000246048,0.081441
5555,0.000307083,0.085109
5555,0.000368118,0.082714
5555,0.000429153,0.085269
5555,0.000490189,0.156691
5555,0.000551224,0.100376
5555,0.000612259,0.089106
5555,0.000673294,0.096603
5555,0.000734329,0.090538
5555,0.000795364,0.182048
5555,0.0008564,0.097692
5555,0.000917435,0.084747
5555,0.00097847,0.081511
5555,0.00103951,0.083085
5555,0.00110054,0.080069
5555,0.00116158,0.078146
5555,0.00122261,0.083676
5555,0.00128365,0.083866
5555,0.00134468,0.066203
5555,0.00140572,0.079498
5555,0.00146675,0.081061
5555,0.00152779,0.080039
5555,0.00158882,0.087153
5555,0.00164986,0.077775
5555,0.00171089,0.08015
5555,0.00177193,0.090664
5555,0.00183296,0.082383
5555,0.001894,0.083415
5555,0.00195503,0.080981
5555,0.00201607,0.077444
5555,0.0020771,0.078997
5555,0.00213814,0.083506
5555,0.00219917,0.072545
5555,0.00226021,0.067095
5555,0.00232124,0.071954
5555,0.00238228,0.082223
5555,0.00244331,0.073527
5555,0.00250435,0.08623
5555,0.00256538,0.071563
5555,0.00262642,0.078045
5555,0.00268745,0.072494
5555,0.00274849,0.075842
5555,0.00280952,0.071713
5555,0.00287056,0.070421
5555,0.00293159,0.071674
5555,0.00299263,0.092172
5555,0.00305367,0.06998
5555,0.0031147,0.076653
5555,0.00317574,0.067536
5555,0.00323677,0.077354
5555,0.00329781,0.073767
5555,0.00335884,0.073567
5555,0.00341988,0.218937
5555,0.00348091,0.085249
5555,0.00354195,0.079979
5555,0.00360298,0.082193
5555,0.00366402,0.085149
5555,0.00372505,0.088976
5555,0.00378609,0.084939
5555,0.00384712,0.085342
5555,0.00390816,0.078206
5555,0.00396919,0.076131
5555,0.00403023,0.077865
5555,0.00409126,0.088164
5555,0.0041523,0.087112
5555,0.00421333,0.082183
5555,0.00427437,0.075771
5555,0.0043354,0.11016
5555,0.00439644,0.115715
5555,0.00445747,0.105236
5555,0.00451851,0.078686
5555,0.00457954,0.077484
5555,0.00464058,0.07506
5555,0.00470161,0.071453
5555,0.00476265,0.093864
5555,0.00482368,0.100051
5555,0.00488472,0.090318
5555,0.00494576,0.101539
5555,0.00500679,0.077915
5555,0.00506783,0.077975
5555,0.00512886,0.101629
5555,0.0051899,0.084958
5555,0.00525093,0.076041
5555,0.00531197,0.07525
5555,0.005373,0.081632
5555,0.00543404,0.072816
5555,0.00549507,0.0911
5555,0.00555611,0.082393
5555,0.00561714,0.083555
5555,0.00567818,0.084837
5555,0.00573921,0.103673
5555,0.00580025,0.083996
5555,0.00586128,0.27972
5555,0.00592232,0.091193
5555,0.00598335,0.097682
5555,0.00604439,0.083145
5555,0.00610542,0.080229
5555,0.00616646,0.084066
5555,0.00622749,0.084197
5555,0.00628853,0.072024
5555,0.00634956,0.074809
5555,0.0064106,0.074449
5555,0.00647163,0.085199
5555,0.00653267,0.070381
5555,0.0065937,0.068548
5555,0.00665474,0.073667
5555,0.00671577,0.073877
5555,0.00677681,0.074218
5555,0.00683784,0.085048
5555,0.00689888,0.080008
5555,0.00695992,0.082093
5555,0.00702095,0.083014
5555,0.00708199,0.093033
5555,0.00714302,0.083335
5555,0.00720406,0.081903
5555,0.00726509,0.103643
5555,0.00732613,0.085234
5555,0.00738716,0.084252
5555,0.0074482,0.078271
5555,0.00750923,0.065848
5555,0.00757027,0.087458
5555,0.0076313,0.071398
5555,0.00769234,0.095633
5555,0.00775337,0.082208
5555,0.00781441,0.096235
5555,0.00787544,0.093579
5555,0.00793648,0.081276
5555,0.00799751,0.091886
5555,0.00805855,0.085975
5555,0.00811958,0.13136
5555,0.00818062,0.254609
5555,0.00824165,0.244198
5555,0.00830269,0.10583
5555,0.00836372,0.087092
5555,0.00842476,0.099555
5555,0.00848579,0.095287
5555,0.00854683,0.084577
5555,0.00860786,0.089537
5555,0.0086689,0.083565
5555,0.00872993,0.083776
5555,0.00879097,0.08579
5555,0.00885201,0.080189
5555,0.00891304,0.081241
5555,0.00897408,0.074138
5555,0.00903511,0.079327
5555,0.00909615,0.076612
5555,0.00915718,0.075441
5555,0.00921822,0.088275
5555,0.00927925,0.076983
5555,0.00934029,0.082143
5555,0.00940132,0.080169
5555,0.00946236,0.08076
5555,0.00952339,0.075691
5555,0.00958443,0.083445
5555,0.00964546,0.08627
5555,0.0097065,0.090378
5555,0.00976753,0.073827
5555,0.00982857,0.097531
5555,0.0098896,0.086061
5555,0.00995064,0.072424
5555,0.0100117,0.077594
5555,0.0100727,0.10755
5555,0.0101337,0.089627
5555,0.0101948,0.082113
5555,0.0102558,0.074799
5555,0.0103168,0.098443
5555,0.0103779,0.092596
5555,0.0104389,0.082964
5555,0.0105,0.10195
5555,0.010561,0.090659
5555,0.010622,0.079708
5555,0.0106831,0.089176
5555,0.0107441,0.088394
5555,0.0108051,0.093163
5555,0.0108662,0.08073
5555,0.0109272,0.099465
5555,0.0109882,0.091711
5555,0.0110493,0.088074
5555,0.0111103,0.092575
5555,0.0111713,0.094505
5555,0.0112324,0.095805
5555,0.0112934,0.074018
5555,0.0113544,0.095517
5555,0.0114155,0.082554
5555,0.0114765,0.078686
5555,0.0115376,0.094877
5555,0.0115986,0.09135
5555,0.0116596,0.089296
5555,0.0117207,0.093984
5555,0.0117817,0.237802
5555,0.0118427,0.119978
5555,0.0119038,0.121165
5555,0.0119648,0.09102
5555,0.0120258,0.086862
5555,0.0120869,0.09121
5555,0.0121479,0.106247
5555,0.0122089,0.109494
5555,0.01227,0.103553
5555,0.012331,0.089173
5555,0.012392,0.091557
5555,0.0124531,0.080166
5555,0.0125141,0.084083
5555,0.0125751,0.096636
5555,0.0126362,0.08236
5555,0.0126972,0.144594
5555,0.0127583,0.161431
5555,0.0128193,0.104449
5555,0.0128803,0.115225
5555,0.0129414,0.0941
5555,0.0130024,0.098172
5555,0.0130634,0.08581
5555,0.0131245,0.08609
5555,0.0131855,0.095958
5555,0.0132465,0.082012
5555,0.0133076,0.069279
5555,0.0133686,0.069299
5555,0.0134296,0.08643
5555,0.0134907,0.074939
5555,0.0135517,0.085289
5555,0.0136127,0.093394
5555,0.0136738,0.088064
5555,0.0137348,0.099606
5555,0.0137959,0.084898
5555,0.0138569,0.084788
5555,0.0139179,0.098033
5555,0.013979,0.084574
5555,0.01404,0.090014
5555,0.014101,0.096837
5555,0.0141621,0.106108
5555,0.0142231,0.087349
5555,0.0142841,0.088832
5555,0.0143452,0.083232
5555,0.0144062,0.081598
5555,0.0144672,0.089243
5555,0.0145283,0.107971
5555,0.0145893,0.09335
5555,0.0146503,0.092048
5555,0.0147114,0.09857
5555,0.0147724,0.081799
5555,0.0148335,0.080025
5555,0.0148945,0.104324
5555,0.0149555,0.090955
5555,0.0150166,0.096169
5555,0.0150776,0.227834
5555,0.0151386,0.096837
5555,0.0151997,0.084965
5555,0.0152607,0.205389
5555,0.0153217,0.127267
5555,0.0153828,0.115071
5555,0.0154438,0.088765
5555,0.0155048,0.106859
5555,0.0155659,0.104935
5555,0.0156269,0.078286
5555,0.0156879,0.106593
5555,0.015749,0.110966
